adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,imdb_url
False,/o4j2Yi8JC6dsOpk8BtW9JSoFtpj.jpg,"[16, 10751, 14]",10144,en,The Little Mermaid,This colorful adventure tells the story of an impetuous mermaid princess named Ariel who falls in love with the very human Prince Eric and puts everything on the line for the chance to be with him. Memorable songs and characters -- including the villainous sea witch Ursula.,13.8723,/plcZXvI310FkbwIptvd6rqk63LP.jpg,1989-11-17,The Little Mermaid,False,7.4,7996,https://www.imdb.com/title/tt0097757/
False,/d1RHScaZc7I8j0lDke1c4AxI435.jpg,"[28, 12, 16, 10751, 35]",9502,en,Kung Fu Panda,"When the Valley of Peace is threatened, lazy Po the panda discovers his destiny as the ""chosen one"" and trains to become a kung fu hero, but transforming the unsleek slacker into a brave warrior won't be easy. It's up to Master Shifu and the Furious Five -- Tigress, Crane, Mantis, Viper and Monkey -- to give it a try.",14.2923,/wWt4JYXTg5Wr3xBW2phBrMKgp3x.jpg,2008-06-04,Kung Fu Panda,False,7.296,11832,https://www.imdb.com/title/tt0441773/
False,/v4W554WRfWdWn1P9WJ9XYbXz36l.jpg,"[16, 10751, 35]",20352,en,Despicable Me,"Villainous Gru lives up to his reputation as a despicable, deplorable and downright unlikable guy when he hatches a plan to steal the moon from the sky. But he has a tough time staying on task after three orphans land in his care.",12.8141,/9lOloREsAhBu0pEtU0BgeR1rHyo.jpg,2010-07-08,Despicable Me,False,7.246,15308,https://www.imdb.com/title/tt1323594/
False,/usRMTDl5fiVyalLKKjlZIlq3CP.jpg,"[12, 35, 10751, 14]",62764,en,Mirror Mirror,"After she spends all her money, an evil enchantress queen schemes to marry a handsome, wealthy prince. There's just one problem - he's in love with a beautiful princess, Snow White. Now, joined by seven rebellious dwarves, Snow White launches an epic battle of good vs. evil...",13.8042,/pys6zIJN8Sxlk2Ss2GZuYuXPbtw.jpg,2012-03-15,Mirror Mirror,False,5.9,3172,https://www.imdb.com/title/tt1667353/
False,/1YL8ksfwm3p2Tgt1yaNVYYOvOKC.jpg,"[16, 14, 28]",1203329,en,The Witcher: Sirens of the Deep,"Geralt of Rivia, a mutated monster hunter, is hired to investigate a series of attacks in a seaside village and finds himself drawn into a centuries-old conflict between humans and merpeople. He must count on friends — old and new — to solve the mystery before the hostilities between the two kingdoms escalate into an all-out war.",13.7178,/y0pR5aBVvPn5uncaZjl94ZEnuEF.jpg,2025-02-10,The Witcher: Sirens of the Deep,False,6.931,160,https://www.imdb.com/title/tt15495150/
False,/x4biAVdPVCghBlsVIzB6NmbghIz.jpg,[37],429,it,"Il buono, il brutto, il cattivo","While the Civil War rages on between the Union and the Confederacy, three men – a quiet loner, a ruthless hitman, and a Mexican bandit – comb the American Southwest in search of a strongbox containing $200,000 in stolen gold.",13.9902,/bX2xnavhMYjWDoZp1VM6VnU1xwe.jpg,1966-12-22,"The Good, the Bad and the Ugly",False,8.462,8896,https://www.imdb.com/title/tt0060196/
False,/cHkhb5A4gQRK6zs6Pv7zorHs8Nk.jpg,"[28, 53, 80]",168259,en,Furious 7,Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.,14.0291,/wurKlC3VKUgcfsn0K51MJYEleS2.jpg,2015-04-01,Furious 7,False,7.2,10753,https://www.imdb.com/title/tt2820852/
False,/9X7YweCJw3q8Mcf6GadxReFEksM.jpg,"[28, 18, 878]",263115,en,Logan,"In the near future, a weary Logan cares for an ailing Professor X in a hideout on the Mexican border. But Logan's attempts to hide from the world and his legacy are upended when a young mutant arrives, pursued by dark forces.",12.7167,/fnbjcRDYn6YviCcePDnGdyAkYsB.jpg,2017-02-28,Logan,False,7.8,19536,https://www.imdb.com/title/tt3315342/
False,/xvtYPVKTFfUpVEKQgbGKFoax0ey.jpg,"[35, 10749, 18]",79871,cn,蜜桃成熟時,"What was supposed to be summer school in England becomes an adventurous exotic and romantic journey for a beautiful teenage girl. [from the Tai Seng Catalog] A nice story of a free-sprited (or, depending on your viewpoint, prick-teasing) young woman on a short journey of discovery.",13.0546,/3uU8W196YMZQbAb9BmCRAJK38s8.jpg,1993-04-17,Crazy Love,False,6.2,33,https://www.imdb.com/title/tt0107565/
False,/5fxTB08O7CW1hAcN2MWOKodp1h1.jpg,"[18, 35]",615777,en,Babylon,"A tale of outsized ambition and outrageous excess, tracing the rise and fall of multiple characters in an era of unbridled decadence and depravity during Hollywood's transition from silent films to sound films in the late 1920s.",12.5689,/wjOHjWCUE0YzDiEzKv8AfqHj3ir.jpg,2022-12-22,Babylon,False,7.369,3293,https://www.imdb.com/title/tt10640346/
